condition,tau,n_folds,mean_retrieval_entropy_bits_mean,mean_retrieval_entropy_bits_std,mean_top5_probability_mass_mean,mean_top5_probability_mass_std,mean_top10_probability_mass_mean,mean_top10_probability_mass_std,mean_positive_probability_mean,mean_positive_probability_std,mean_free_energy_mean,mean_free_energy_std
Base E5,0.01,5,6.293048955076493,0.0971081882101292,0.413865406886195,0.0112406665521253,0.4987248581696034,0.0122865630470116,0.1136235313149734,0.0116383585884209,-0.8684355145627993,0.0018440015160003
Base E5,0.010798122767574,5,6.786113181388788,0.0995211889820615,0.3615203638799993,0.0111587062499944,0.442705457930279,0.0125629471410107,0.098520374261803,0.0103226722277069,-0.872055595290891,0.0018134411868441
Base E5,0.01165994553036,5,7.262242131724816,0.1000509683709706,0.311619303453973,0.0109131230359181,0.3882069991754094,0.0125878824149563,0.0839389602327063,0.0090509290453798,-0.8762545559221504,0.0017772183072851
Base E5,0.0125905523300053,5,7.711373325886095,0.0982172187128063,0.2652021514348838,0.0104718189074294,0.336490706859172,0.0123282996197708,0.0703029253834578,0.0078384835635288,-0.8810874491512581,0.0017363950637819
Base E5,0.0135954329770963,5,8.125390040745184,0.0939660147795825,0.2230775766413509,0.0098311431344109,0.2886076550472344,0.0117852458195337,0.0579539101724826,0.006703028646886,-0.8866069142859988,0.0016924231578275
Base E5,0.014680515436501,5,8.498782181243877,0.0875987101492246,0.1857567119023126,0.0090177877445265,0.2453118865354664,0.0109940877774724,0.0471141286560654,0.005659879528025,-0.8928630753941539,0.0016469550040282
Base E5,0.0158522007974604,5,8.828856059014424,0.079631561224732,0.1534349898248203,0.0080787824150072,0.2070226608153254,0.0100132985263576,0.037875400616102,0.0047166305142737,-0.8999040787919655,0.0016016363688421
Base E5,0.0171174010347212,5,9.11553864425961,0.0706791130715256,0.1260185211652281,0.0070709640735219,0.1738354248971532,0.008912675822689,0.0302105260353826,0.0038752096778215,-0.907777154891048,0.0015579114961568
Base E5,0.0184835797834718,5,9.360889900714923,0.0613554641759992,0.1031823441830756,0.0060516761850416,0.1455706985765502,0.007762991094245,0.0239989286970123,0.003136203315799,-0.9165300256724132,0.0015168786889477
Base E5,0.0199587963686178,5,9.568450683727148,0.0521986191785014,0.0844458374319167,0.0050711749952063,0.1218465034206636,0.0066275246977422,0.01905994027463,0.0024994670503107,-0.9262124505379152,0.0014792293884084
Base E5,0.0215517533481346,5,9.742561094353231,0.0436352331390487,0.0692507864055373,0.004168853763409,0.1021590461987701,0.0055575497642467,0.0151874418320835,0.0019630644004192,-0.9368777094524908,0.0014452705884734
Base E5,0.0232718478509632,5,9.887781185265592,0.0359650983979243,0.0570283375271026,0.0033718772177442,0.0859563381476833,0.0045904698987395,0.012178511919247,0.0015227068031111,-0.9485838824385742,0.0014150024273111
Base E5,0.0251292270123005,5,10.0084914895792,0.0293483445933034,0.0472458928119681,0.0026940984329556,0.0726938235263707,0.003748424926182,0.00985133020821,0.0011711212328817,-0.9613948829772648,0.0013882188068739
Base E5,0.0271348478333058,5,10.108670948504884,0.0238101517242692,0.0394329537999553,0.0021362133399672,0.0618691971060727,0.0030381962429192,0.0080527769364972,0.0008976708886576,-0.9753812823088456,0.0013646040764551
Base E5,0.0293005418183476,5,10.19180314951196,0.0192736215138713,0.0331906343458955,0.0016885253537395,0.0530399238966231,0.002453851918934,0.006659215889181,0.0006892858853685,-0.9906209895224016,0.001343806734197
Base E5,0.0316390847710954,5,10.260860406543456,0.0156067792467376,0.0281907913684417,0.0013354670334326,0.0458288524069495,0.0019814307764574,0.0055737903183488,0.0005324300341687,-1.0071998449023156,0.0013254840459352
Base E5,0.034164272161197,5,10.318331801941673,0.0126628112871275,0.0241694321794047,0.0010598549522448,0.0399224291799473,0.0016036483582345,0.0047222696600717,0.0004148855541088,-1.0252121700755985,0.0013093229486437
Base E5,0.0368910005061417,5,10.366274241939408,0.0103042406059686,0.0209175499753451,0.0008456513145883,0.0350647387037281,0.0013032417005398,0.0040485867874807,0.0003266454216487,-1.0447613092501398,0.001295046483629
