condition,tau,n_folds,mean_retrieval_entropy_bits_mean,mean_retrieval_entropy_bits_std,mean_top5_probability_mass_mean,mean_top5_probability_mass_std,mean_top10_probability_mass_mean,mean_top10_probability_mass_std,mean_positive_probability_mean,mean_positive_probability_std,mean_free_energy_mean,mean_free_energy_std
Base E5,0.01,5,6.293048955076493,0.0971081882101292,0.41386540688619505,0.011240666552125316,0.4987248581696034,0.012286563047011664,0.11362353131497346,0.011638358588420912,-0.8684355145627993,0.0018440015160003586
Base E5,0.010798122767574027,5,6.786113181388788,0.09952118898206155,0.3615203638799993,0.01115870624999445,0.442705457930279,0.012562947141010776,0.09852037426180307,0.010322672227706942,-0.872055595290891,0.001813441186844102
Base E5,0.011659945530360058,5,7.262242131724816,0.10005096837097062,0.31161930345397304,0.010913123035918152,0.3882069991754094,0.012587882414956368,0.08393896023270635,0.009050929045379841,-0.8762545559221504,0.0017772183072851473
Base E5,0.012590552330005396,5,7.711373325886095,0.09821721871280632,0.26520215143488385,0.010471818907429464,0.33649070685917204,0.012328299619770878,0.07030292538345786,0.00783848356352886,-0.8810874491512581,0.0017363950637819038
Base E5,0.013595432977096348,5,8.125390040745184,0.09396601477958254,0.22307757664135092,0.009831143134410938,0.2886076550472344,0.01178524581953373,0.05795391017248268,0.00670302864688605,-0.8866069142859988,0.0016924231578275234
Base E5,0.014680515436501082,5,8.498782181243877,0.08759871014922462,0.1857567119023126,0.009017787744526532,0.24531188653546648,0.010994087777472409,0.047114128656065436,0.005659879528025006,-0.8928630753941539,0.001646955004028286
Base E5,0.015852200797460428,5,8.828856059014424,0.07963156122473204,0.15343498982482032,0.00807878241500722,0.20702266081532547,0.010013298526357675,0.037875400616102096,0.004716630514273776,-0.8999040787919655,0.0016016363688421504
Base E5,0.01711740103472126,5,9.11553864425961,0.07067911307152565,0.12601852116522813,0.007070964073521971,0.17383542489715328,0.008912675822689077,0.030210526035382657,0.0038752096778215265,-0.907777154891048,0.0015579114961568905
Base E5,0.018483579783471888,5,9.360889900714923,0.061355464175999234,0.10318234418307563,0.006051676185041602,0.1455706985765502,0.00776299109424505,0.023998928697012305,0.003136203315799044,-0.9165300256724132,0.0015168786889477944
Base E5,0.01995879636861788,5,9.568450683727148,0.05219861917850147,0.08444583743191679,0.005071174995206323,0.12184650342066364,0.00662752469774221,0.01905994027463008,0.002499467050310749,-0.9262124505379153,0.001479229388408417
Base E5,0.021551753348134656,5,9.742561094353231,0.04363523313904872,0.06925078640553736,0.004168853763409015,0.1021590461987701,0.005557549764246719,0.015187441832083573,0.0019630644004192243,-0.9368777094524907,0.0014452705884734985
Base E5,0.02327184785096326,5,9.887781185265592,0.03596509839792431,0.057028337527102645,0.0033718772177442837,0.08595633814768334,0.004590469898739584,0.012178511919247088,0.0015227068031111218,-0.9485838824385742,0.001415002427311152
Base E5,0.02512922701230051,5,10.0084914895792,0.02934834459330347,0.04724589281196813,0.002694098432955618,0.07269382352637074,0.0037484249261820948,0.009851330208210003,0.001171121232881737,-0.9613948829772647,0.0013882188068739898
Base E5,0.027134847833305838,5,10.108670948504885,0.02381015172426921,0.03943295379995532,0.002136213339967284,0.06186919710607277,0.0030381962429192584,0.008052776936497278,0.000897670888657626,-0.9753812823088456,0.001364604076455101
Base E5,0.029300541818347653,5,10.191803149511959,0.019273621513871332,0.03319063434589552,0.001688525353739588,0.05303992389662315,0.0024538519189340954,0.00665921588918106,0.0006892858853685261,-0.9906209895224016,0.001343806734197078
Base E5,0.03163908477109547,5,10.260860406543456,0.015606779246737684,0.02819079136844175,0.0013354670334326,0.04582885240694952,0.00198143077645745,0.005573790318348887,0.0005324300341687175,-1.0071998449023156,0.0013254840459352702
