fold,condition,margin
1,Base E5,0.0271134376525878
1,Base E5,0.003553569316864
1,Base E5,-0.0440974235534668
1,Base E5,-0.025883138179779
1,Base E5,-0.0464632511138916
1,Base E5,-0.0223212838172912
1,Base E5,0.0179900527000427
1,Base E5,-0.0045505166053771
1,Base E5,-0.0007299780845642
1,Base E5,-0.037381112575531
1,Base E5,0.0070115327835083
1,Base E5,-0.0192794203758239
1,Base E5,-0.0692151188850402
1,Base E5,-0.0059345364570617
1,Base E5,0.0213014483451843
1,Base E5,-0.0469831228256225
1,Base E5,0.0004140138626098
1,Base E5,-0.051857590675354
1,Base E5,0.0116757154464721
1,Base E5,-0.0160831809043884
1,Base E5,-0.0588276982307434
1,Base E5,-0.0498979091644287
1,Base E5,0.0108550786972045
1,Base E5,-0.0143906474113464
1,Base E5,-0.0036028623580932
1,Base E5,-0.0028111338615417
1,Base E5,0.0377042293548584
1,Base E5,-0.0475314855575561
1,Base E5,-0.0785510540008544
1,Base E5,-0.0970710515975952
1,Base E5,-0.048441469669342
1,Base E5,-0.0770438909530639
1,Base E5,-0.0458854436874389
1,Base E5,-0.0337349772453308
1,Base E5,0.0057826042175292
1,Base E5,-0.0279166102409362
1,Base E5,0.02497398853302
1,Base E5,-0.0085265040397644
1,Base E5,0.0044987797737121
1,Base E5,-0.0130982398986816
1,Base E5,-0.0402740836143493
1,Base E5,-0.0055176019668579
1,Base E5,-0.0460013747215271
1,Base E5,0.0080658793449401
1,Base E5,-0.0202425718307495
1,Base E5,0.0089946389198303
1,Base E5,0.0058047771453857
1,Base E5,0.0259636044502258
1,Base E5,0.0058041810989379
1,Base E5,0.0303499102592468
1,Base E5,0.028978943824768
1,Base E5,0.0012873411178588
1,Base E5,0.0325570106506347
1,Base E5,0.0026841163635253
1,Base E5,0.0613705515861511
1,Base E5,-0.0225154757499694
1,Base E5,0.0165826678276062
1,Base E5,-0.0522878170013427
1,Base E5,-0.0353256464004516
1,Base E5,-0.0173549652099609
1,Base E5,-0.0106300711631774
1,Base E5,-0.0280735492706298
1,Base E5,-0.0676118731498718
1,Base E5,-0.0103757381439208
1,Base E5,0.0426277518272399
1,Base E5,0.0374332666397094
1,Base E5,0.030746042728424
1,Base E5,-0.0092381238937377
1,Base E5,0.035129964351654
1,Base E5,0.0096561312675476
1,Base E5,-0.0301811695098876
1,Base E5,0.038767397403717
1,Base E5,0.0089042782783508
1,Base E5,0.0057677626609802
1,Base E5,0.0149478912353515
1,Base E5,0.0030966997146606
1,Base E5,-0.0003238320350646
1,Base E5,0.014845848083496
1,Base E5,-0.0243172645568847
1,Base E5,-0.0312909483909606
1,Base E5,0.0263723731040954
1,Base E5,0.0389663577079772
1,Base E5,0.0062679648399353
1,Base E5,-0.0289642214775085
1,Base E5,0.0259357094764709
1,Base E5,0.0557482242584228
1,Base E5,0.0656579136848449
1,Base E5,0.0013046860694885
1,Base E5,0.0255501270294189
1,Base E5,0.0373110771179199
1,Base E5,0.02854585647583
1,Base E5,-0.021127700805664
1,Base E5,-0.0211181044578552
1,Base E5,-0.0271969437599182
1,Base E5,-0.0150017142295837
1,Base E5,-0.0506390929222106
1,Base E5,-0.0142385959625244
1,Base E5,0.0012034773826599
1,Base E5,-0.0310091376304626
1,Base E5,-0.018398106098175
1,Base E5,0.0189673900604248
1,Base E5,-0.003440499305725
1,Base E5,-0.0281436443328857
1,Base E5,-0.0242617130279541
1,Base E5,0.0270542502403259
1,Base E5,0.0512837767601013
1,Base E5,0.0218147635459899
1,Base E5,0.013704240322113
1,Base E5,0.0147117376327514
1,Base E5,0.0103484988212585
1,Base E5,-0.0085523128509521
1,Base E5,0.0032112598419189
1,Base E5,0.0422859191894531
1,Base E5,0.0030924081802368
1,Base E5,-0.0138439536094665
1,Base E5,-0.0410393476486206
1,Base E5,0.0429634451866149
1,Base E5,0.0226187705993652
1,Base E5,0.0200306177139282
1,Base E5,0.0135977268218994
1,Base E5,0.057065725326538
1,Base E5,0.0215294957160949
1,Base E5,0.016314148902893
1,Base E5,0.0238644480705261
1,Base E5,0.0362352728843688
1,Base E5,0.0054015517234802
1,Base E5,0.017277717590332
1,Base E5,0.0445848703384399
1,Base E5,-0.0345786213874816
1,Base E5,-0.020436942577362
1,Base E5,0.0977099537849426
1,Base E5,-0.0043177008628845
1,Base E5,0.0098406076431274
1,Base E5,0.0020779371261596
1,Base E5,-0.0047699809074401
1,Base E5,-0.0030401349067687
1,Base E5,0.0527006387710571
1,Base E5,0.0360389947891235
1,Base E5,0.0378594994544982
1,Base E5,0.02206552028656
1,Base E5,0.0545040369033813
1,Base E5,-0.0105299949645996
1,Base E5,-0.0143255591392517
1,Base E5,0.0029867887496948
1,Base E5,-0.0012131333351135
1,Base E5,0.0038123726844787
1,Base E5,-0.0278390645980834
1,Base E5,-0.0190775394439697
1,Base E5,0.0081245303153991
1,Base E5,-0.0039979815483093
1,Base E5,0.0241387486457824
1,Base E5,-0.0513281226158142
1,Base E5,0.04263436794281
1,Base E5,-0.0074305534362792
1,Base E5,-0.0290030837059021
1,Base E5,0.0069464445114135
1,Base E5,0.0140237212181091
1,Base E5,-0.0085861086845397
1,Base E5,-0.0194097161293029
1,Base E5,0.0002073645591735
1,Base E5,-0.0125504732131958
1,Base E5,-0.004425048828125
1,Base E5,-0.0282163023948669
1,Base E5,0.0146999359130859
1,Base E5,0.0234741568565368
1,Base E5,-0.0023612976074218
1,Base E5,-0.0337817668914794
1,Base E5,0.0060383677482604
1,Base E5,-0.024141788482666
1,Base E5,-0.0109102129936218
1,Base E5,-0.00147145986557
1,Base E5,0.0275126099586486
1,Base E5,0.0436646938323974
1,Base E5,0.0251287817955017
1,Base E5,-0.0166427493095397
1,Base E5,0.0015949010848999
1,Base E5,0.0012541413307189
1,Base E5,0.0151957273483276
1,Base E5,-0.039543867111206
