fold,condition,score_type,cosine_similarity
1,Base E5,positive_score,0.8293911218643188
1,Base E5,positive_score,0.8156018257141113
1,Base E5,positive_score,0.7931261658668518
1,Base E5,positive_score,0.7552616000175476
1,Base E5,positive_score,0.7903622984886169
1,Base E5,positive_score,0.7385300993919373
1,Base E5,positive_score,0.8475124835968018
1,Base E5,positive_score,0.7969017624855042
1,Base E5,positive_score,0.7927992343902588
1,Base E5,positive_score,0.7926038503646851
1,Base E5,positive_score,0.8147826194763184
1,Base E5,positive_score,0.7943101525306702
1,Base E5,positive_score,0.7716048955917358
1,Base E5,positive_score,0.788604199886322
1,Base E5,positive_score,0.831470251083374
1,Base E5,positive_score,0.7516032457351685
1,Base E5,positive_score,0.8107835650444031
1,Base E5,positive_score,0.7557379007339478
1,Base E5,positive_score,0.8355908989906311
1,Base E5,positive_score,0.8167056441307068
1,Base E5,positive_score,0.764744758605957
1,Base E5,positive_score,0.7614496946334839
1,Base E5,positive_score,0.8362229466438293
1,Base E5,positive_score,0.8118851780891418
1,Base E5,positive_score,0.817940354347229
1,Base E5,positive_score,0.7989687323570251
1,Base E5,positive_score,0.8542913198471069
1,Base E5,positive_score,0.7603182196617126
1,Base E5,positive_score,0.7553459405899048
1,Base E5,positive_score,0.7550510168075562
1,Base E5,positive_score,0.779717743396759
1,Base E5,positive_score,0.7492857575416565
1,Base E5,positive_score,0.7756038904190063
1,Base E5,positive_score,0.8014206290245056
1,Base E5,positive_score,0.8468409776687622
1,Base E5,positive_score,0.7823387980461121
1,Base E5,positive_score,0.862595796585083
1,Base E5,positive_score,0.8072222471237183
1,Base E5,positive_score,0.8199508786201477
1,Base E5,positive_score,0.8146994113922119
1,Base E5,positive_score,0.7994986772537231
1,Base E5,positive_score,0.7913193702697754
1,Base E5,positive_score,0.7813487648963928
1,Base E5,positive_score,0.8184754848480225
1,Base E5,positive_score,0.7911086678504944
1,Base E5,positive_score,0.8404451608657837
1,Base E5,positive_score,0.8333739638328552
1,Base E5,positive_score,0.8497715592384338
1,Base E5,positive_score,0.832965075969696
1,Base E5,positive_score,0.904592990875244
1,Base E5,positive_score,0.8261422514915466
1,Base E5,positive_score,0.7982985377311707
1,Base E5,positive_score,0.8341931700706482
1,Base E5,positive_score,0.8162757158279419
1,Base E5,positive_score,0.8551703095436096
1,Base E5,positive_score,0.8037190437316895
1,Base E5,positive_score,0.8069490194320679
1,Base E5,positive_score,0.7929774522781372
1,Base E5,positive_score,0.7610984444618225
1,Base E5,positive_score,0.8301773071289062
1,Base E5,positive_score,0.8127184510231018
1,Base E5,positive_score,0.7977319359779358
1,Base E5,positive_score,0.7599668502807617
1,Base E5,positive_score,0.8331813812255859
1,Base E5,positive_score,0.8599969148635864
1,Base E5,positive_score,0.8941763639450073
1,Base E5,positive_score,0.8465468883514404
1,Base E5,positive_score,0.856146514415741
1,Base E5,positive_score,0.87424635887146
1,Base E5,positive_score,0.8395273685455322
1,Base E5,positive_score,0.8234145045280457
1,Base E5,positive_score,0.8665214776992798
1,Base E5,positive_score,0.8475970029830933
1,Base E5,positive_score,0.8343734741210938
1,Base E5,positive_score,0.843237578868866
1,Base E5,positive_score,0.8280602693557739
1,Base E5,positive_score,0.8311629891395569
1,Base E5,positive_score,0.8080056309700012
