fold,condition,n_queries,Recall@1,Recall@5,Recall@10,MRR,Mean Rank,Median Rank,Mean Margin,Median Margin,Mean Retrieval Entropy tau=0.05,Mean Top-5 Mass tau=0.05,Mean Top-10 Mass tau=0.05
1,Base E5,2200,0.25181818181818183,0.5245454545454545,0.6209090909090909,0.37676290558366177,49.71454545454545,5.0,0.017912220873615957,0.016801893711090088,10.491029872858446,0.01299413012588089,0.022824288820039607
1,Fine-Tuned E5,2200,0.34363636363636363,0.6836363636363636,0.7981818181818182,0.4906562305874847,14.92,3.0,0.1826313765048822,0.18127621710300446,4.785078792214416,0.5865364745871069,0.6869522627608415
2,Base E5,1744,0.27408256880733944,0.5229357798165137,0.6422018348623854,0.3927824914595143,59.43119266055046,5.0,0.018338533408871486,0.018015027046203613,10.498777767796202,0.012420840023928015,0.02185445017247153
2,Fine-Tuned E5,1744,0.31536697247706424,0.6674311926605505,0.7740825688073395,0.46800508843731287,16.73394495412844,3.0,0.2031574356550238,0.20060481876134872,4.567775380052949,0.6116465471395726,0.7049123685052194
3,Base E5,3800,0.23894736842105263,0.4863157894736842,0.6036842105263158,0.3590342898026893,48.165263157894735,6.0,0.01559502811808335,0.01379317045211792,10.489088122045079,0.012942961977397253,0.02280412185669972
3,Fine-Tuned E5,3800,0.31842105263157894,0.64,0.7763157894736842,0.467273072767654,17.467894736842105,3.0,0.15591612888441886,0.1524011343717575,5.151392091136233,0.5400905131503608,0.6407359700616648
4,Base E5,1608,0.31094527363184077,0.5883084577114428,0.7027363184079602,0.43742958545965255,31.281094527363184,4.0,0.0234371516760902,0.020067214965820312,10.486019450564148,0.013403741029138381,0.023485444585662173
4,Fine-Tuned E5,1608,0.3482587064676617,0.7288557213930348,0.8420398009950248,0.5059235514098083,9.450248756218905,3.0,0.2187764166100808,0.21079853922128677,4.343060364935308,0.6400762902791922,0.7346706815492409
5,Base E5,3168,0.24873737373737373,0.5157828282828283,0.6130050505050505,0.36852702210898264,41.202651515151516,5.0,0.016822799475807133,0.014469653367996216,10.4912102174306,0.012659967120979377,0.022348026390942636
5,Fine-Tuned E5,3168,0.3301767676767677,0.6818181818181818,0.7929292929292929,0.4850901712832697,15.301767676767676,3.0,0.17218331267330808,0.16508875042200089,4.926437655705281,0.5653293287223387,0.6663999055552564
