fold,condition,n_queries,Recall@1,Recall@5,Recall@10,MRR,Mean Rank,Median Rank,Mean Margin,Median Margin,Mean Retrieval Entropy tau=0.05,Mean Top-5 Mass tau=0.05,Mean Top-10 Mass tau=0.05
1,Base E5,2200,0.2518181818181818,0.5245454545454545,0.6209090909090909,0.3767629055836617,49.71454545454545,5.0,0.0179122208736159,0.01680189371109,10.491029872858446,0.0129941301258808,0.0228242888200396
1,Fine-Tuned E5,2200,0.3436363636363636,0.6836363636363636,0.7981818181818182,0.4906562305874847,14.92,3.0,0.1826313765048822,0.1812762171030044,4.785078792214416,0.5865364745871069,0.6869522627608415
2,Base E5,1744,0.2740825688073394,0.5229357798165137,0.6422018348623854,0.3927824914595143,59.43119266055046,5.0,0.0183385334088714,0.0180150270462036,10.498777767796202,0.012420840023928,0.0218544501724715
2,Fine-Tuned E5,1744,0.3153669724770642,0.6674311926605505,0.7740825688073395,0.4680050884373128,16.73394495412844,3.0,0.2031574356550238,0.2006048187613487,4.567775380052949,0.6116465471395726,0.7049123685052194
3,Base E5,3800,0.2389473684210526,0.4863157894736842,0.6036842105263158,0.3590342898026893,48.165263157894735,6.0,0.0155950281180833,0.0137931704521179,10.48908812204508,0.0129429619773972,0.0228041218566997
3,Fine-Tuned E5,3800,0.3184210526315789,0.64,0.7763157894736842,0.467273072767654,17.467894736842105,3.0,0.1559161288844188,0.1524011343717575,5.151392091136233,0.5400905131503608,0.6407359700616648
4,Base E5,1608,0.3109452736318407,0.5883084577114428,0.7027363184079602,0.4374295854596525,31.281094527363184,4.0,0.0234371516760902,0.0200672149658203,10.486019450564148,0.0134037410291383,0.0234854445856621
4,Fine-Tuned E5,1608,0.3482587064676617,0.7288557213930348,0.8420398009950248,0.5059235514098083,9.450248756218905,3.0,0.2187764166100808,0.2107985392212867,4.343060364935308,0.6400762902791922,0.7346706815492409
5,Base E5,3168,0.2487373737373737,0.5157828282828283,0.6130050505050505,0.3685270221089826,41.20265151515152,5.0,0.0168227994758071,0.0144696533679962,10.4912102174306,0.0126599671209793,0.0223480263909426
5,Fine-Tuned E5,3168,0.3301767676767677,0.6818181818181818,0.7929292929292929,0.4850901712832697,15.301767676767676,3.0,0.172183312673308,0.1650887504220008,4.926437655705281,0.5653293287223387,0.6663999055552564
